ID,C,U,A,Delay
9,0,77,77,7
9,0,82,77,1
9,0,82,82,30
9,0,97,77,7
9,0,82,77,3
9,0,77,77,1
9,1,64,82,7
9,0,97,77,3
9,1,77,97,1
9,0,97,64,1
9,0,97,97,3
9,0,64,77,3
9,0,82,64,30
9,1,77,82,30
9,0,97,77,1
9,0,82,64,3
9,0,82,77,30
9,0,82,77,13
